"Image Name","PID","Session Name","Session#","Mem Usage"
"WmiPrvSE.exe","2984","Services","0","6,948 K"
"svchost.exe","11044","Services","0","14,680 K"
"csrss.exe","7868","Console","2","4,588 K"
"winlogon.exe","7752","Console","2","6,636 K"
"fontdrvhost.exe","9016","Console","2","5,348 K"
"dwm.exe","11164","Console","2","112,176 K"
"NVDisplay.Container.exe","9276","Console","2","31,292 K"
"sihost.exe","3804","Console","2","26,808 K"
"svchost.exe","4228","Console","2","22,612 K"
"svchost.exe","6652","Console","2","23,212 K"
"taskhostw.exe","1216","Console","2","19,680 K"
"svchost.exe","8992","Services","0","18,092 K"
"svchost.exe","2520","Services","0","4,404 K"
"svchost.exe","3376","Services","0","5,500 K"
"explorer.exe","7956","Console","2","154,156 K"
"RadeonSettings.exe","10796","Console","2","13,420 K"
"WmiPrvSE.exe","11996","Services","0","20,372 K"
"svchost.exe","12256","Console","2","8,228 K"
"ShellExperienceHost.exe","284","Console","2","75,908 K"
"RuntimeBroker.exe","12496","Console","2","18,956 K"
"SearchUI.exe","12580","Console","2","182,832 K"
"RuntimeBroker.exe","12804","Console","2","30,980 K"
"svchost.exe","12956","Services","0","10,140 K"
"SettingSyncHost.exe","13448","Console","2","16,460 K"
"ITBM.exe","14068","Console","2","1,908 K"
"svchost.exe","12200","Services","0","11,848 K"
"svchost.exe","14580","Services","0","5,876 K"
"RuntimeBroker.exe","11784","Console","2","21,112 K"
"smartscreen.exe","14760","Console","2","23,004 K"
"SecurityHealthSystray.exe","14800","Console","2","7,964 K"
"RAVCpl64.exe","15040","Console","2","11,068 K"
"figma-helper.exe","11856","Console","2","3,576 K"
"Docker for Windows.exe","12320","Console","2","24,036 K"
"ONENOTEM.EXE","15476","Console","2","6,104 K"
"OUTLOOK.EXE","16256","Console","2","523,216 K"
"ONENOTE.EXE","16304","Console","2","132,676 K"
"dllhost.exe","15824","Console","2","11,248 K"
"vpnkit.exe","21312","Console","2","4,260 K"
"conhost.exe","21288","Console","2","2,884 K"
"Docker.Watchguard.exe","16180","Services","0","1,504 K"
"conhost.exe","7764","Services","0","2,540 K"
"vmwp.exe","10660","Services","0","6,740 K"
"vmmem","13516","Services","0","N/A"
"iexplore.exe","1296","Console","2","26,636 K"
"iexplore.exe","10636","Console","2","154,204 K"
"com.docker.proxy.exe","7096","Console","2","7,632 K"
"Docker.Watchguard.exe","19352","Services","0","1,504 K"
"conhost.exe","12756","Console","2","2,704 K"
"conhost.exe","12904","Services","0","2,540 K"
"svchost.exe","20604","Console","2","8,388 K"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","20396","Console","2","4,076 K"
"RuntimeBroker.exe","14684","Console","2","3,300 K"
"cmd.exe","3244","Console","2","3,748 K"
"conhost.exe","18772","Console","2","7,668 K"
"svchost.exe","29944","Services","0","4,520 K"
"SystemSettings.exe","26636","Console","2","548 K"
"ApplicationFrameHost.exe","2248","Console","2","24,788 K"
