"Image Name","PID","Session Name","Session#","Mem Usage"
"svchost.exe","26004","Services","0","6,812 K"
"WmiPrvSE.exe","18700","Services","0","15,428 K"
"chrome.exe","17580","Console","1","77,664 K"
"RuntimeBroker.exe","13668","Console","1","13,240 K"
"WWAHost.exe","26096","Console","1","27,000 K"
"chrome.exe","20604","Console","1","69,312 K"
"svchost.exe","11632","Services","0","10,204 K"
"SkypeApp.exe","13100","Console","1","11,852 K"
"RuntimeBroker.exe","8940","Console","1","17,504 K"
"SkypeBackgroundHost.exe","18264","Console","1","60 K"
"chrome.exe","22372","Console","1","111,552 K"
"chrome.exe","20684","Console","1","28,784 K"
"chrome.exe","17632","Console","1","110,344 K"
"svchost.exe","4424","Services","0","5,976 K"
"chrome.exe","26372","Console","1","216,100 K"
"SystemSettings.exe","19232","Console","1","20 K"
"Code.exe","25508","Console","1","80,404 K"
"Code.exe","4780","Console","1","242,480 K"
"Code.exe","12488","Console","1","128,552 K"
"Code.exe","23336","Console","1","10,280 K"
"CodeHelper.exe","6776","Console","1","11,512 K"
"conhost.exe","18188","Console","1","4,700 K"
"Code.exe","20904","Console","1","57,296 K"
"Code.exe","16172","Console","1","47,432 K"
"Code.exe","4232","Console","1","18,608 K"
"Code.exe","14232","Console","1","20,460 K"
"vsls-agent.exe","8248","Console","1","21,252 K"
"conhost.exe","7780","Console","1","4,644 K"
"chrome.exe","25652","Console","1","182,612 K"
"EXCEL.EXE","11204","Console","1","104,224 K"
"Code.exe","10396","Console","1","19,460 K"
"audiodg.exe","15104","Services","0","15,632 K"
"chrome.exe","6044","Console","1","79,104 K"
"svchost.exe","25404","Services","0","7,836 K"
"svchost.exe","21484","Services","0","11,020 K"
"SearchProtocolHost.exe","21084","Console","1","8,028 K"
"chrome.exe","19340","Console","1","85,820 K"
"chrome.exe","14072","Console","1","77,452 K"
"chrome.exe","18932","Console","1","23,028 K"
"svchost.exe","7896","Services","0","7,812 K"
"svchost.exe","4872","Services","0","7,552 K"
"Code.exe","11540","Console","1","202,712 K"
"CodeHelper.exe","17928","Console","1","14,200 K"
"conhost.exe","12448","Console","1","10,876 K"
"Code.exe","364","Console","1","143,252 K"
"Code.exe","25284","Console","1","38,284 K"
"Code.exe","8000","Console","1","43,828 K"
"SearchProtocolHost.exe","20192","Services","0","12,572 K"
"vsls-agent.exe","1344","Console","1","34,920 K"
"conhost.exe","2336","Console","1","10,740 K"
"SearchFilterHost.exe","7684","Services","0","7,712 K"
"tasklist.exe","8716","Console","1","7,720 K"
